,State,Total_Offenses_Society,Animal_Cruelty,Drug_Narcotic_Offenses,Gambling_Offenses,Pornography_Obscene_Material,Prostitution_Offenses,Weapon_Law_Violations,Population_Covered,Total_Offenses_Property,Arson,Bribery,Burglary_Breaking_Entering,Counterfeiting_Forgery,Destruction_Damage_Vandalism,Embezzlement,Extortion_Blackmail,Fraud_Offenses,Larceny_Theft_Offenses,Motor_Vehicle_Theft,Robbery,Stolen_Property_Offenses,Total_Offenses_Person,Assault_Offenses,Homicide_Offenses,Human_Trafficking_Offenses,Kidnapping_Abduction,Sex_Offenses,Total_Offenses,Crime_Rate_Total,Crime_Rate_Property,Crime_Rate_Society,Crime_Rate_Person,Year
9,District of Columbia,2188,7,654,3,27,0,1497,670050.0,24749,5,1,760,140,7923,0,33,3390,9400,1716,1205,176,10204,9761,109,0,29,305,37141,55.430191776733075,36.936049548541156,3.2654279531378254,15.2287142750541,2021
10,Florida,192,2,162,0,2,1,25,22244823.0,969,0,0,22,6,99,6,0,78,662,50,24,22,427,405,0,0,6,16,1588,0.0713873965191811,0.043560697246276134,0.008631221745392175,0.019195477527512807,2021
11,Georgia,54557,1180,44766,31,1208,287,7085,8709490.0,243173,688,26,18452,5436,43926,451,331,33582,114819,17985,4053,3424,123610,113071,794,171,2262,7312,421340,48.37711507792075,27.92046376997964,6.264086645716339,14.19256466222477,2021
12,Hawaii,3019,49,2137,329,81,31,392,1059012.0,35378,325,2,3463,395,1053,29,113,4170,20064,4286,734,744,11661,10707,8,5,295,646,50058,47.26858619165789,33.40660917912167,2.850770340657141,11.011206671879073,2021
13,Idaho,27036,58,25531,0,262,36,1149,1889225.0,31407,140,3,2811,627,6959,118,90,5252,13226,1618,156,407,17815,15311,46,4,220,2234,76258,40.36469981076896,16.624277150683483,14.310630020246398,9.429792639839087,2021
14,Illinois,17855,89,11375,1,540,95,5755,7845636.0,156781,541,6,11465,1849,42370,67,171,24685,57784,11430,5955,458,91087,86266,536,7,633,3645,265723,33.868892209630935,19.983211048791965,2.2757874568741143,11.609893703964852,2021
15,Indiana,50117,627,41868,289,747,116,6470,5229123.0,123469,720,19,11661,1800,10585,487,141,16032,65136,12585,2905,1398,67873,60965,495,58,1578,4777,241459,46.17581189044511,23.611798766255834,9.58420752390028,12.979805600288996,2021
16,Iowa,23455,149,20714,6,429,41,2116,2927835.0,74513,327,72,7659,2565,15845,189,87,7832,32882,5799,681,575,32743,30201,96,14,235,2197,130711,44.64425078599033,25.44986312411731,8.011038873433783,11.183348788439238,2021
17,Kansas,30757,0,27863,5,381,114,2394,2614220.0,85034,433,6,6364,2457,22556,418,347,10446,34286,5681,645,1395,37482,34002,95,0,1195,2190,153273,58.630490165326556,32.5274842974195,11.76526841658315,14.337737451323914,2021
18,Kentucky,47562,215,43248,37,582,65,3415,4505498.0,114954,418,42,12659,1962,20219,1103,111,9652,51527,11100,2238,3923,48846,44032,426,38,1179,3171,211362,46.912017273118316,25.514160698772923,10.556435714764493,10.841420859580893,2021
19,Louisiana,40033,302,32035,61,808,198,6629,3321430.0,112262,255,13,15497,1922,21654,740,218,6063,54699,7497,1348,2356,56353,53294,477,8,630,1944,208648,62.81872566936531,33.79929729062482,12.052941052498472,16.96648732624201,2021
20,Maine,4796,46,4214,1,137,16,382,1366119.0,26094,165,2,1713,460,6209,37,36,3102,13207,891,161,111,13310,12209,30,2,25,1044,44200,32.35442886015055,19.100825037935934,3.510675131522217,9.742928690692391,2021
21,Maryland,9629,284,7697,0,118,59,1471,2902491.0,64600,192,3,3691,1092,13445,272,157,10740,28682,4026,1701,599,27379,25455,153,4,61,1706,101608,35.00717142619908,22.256744293091693,3.3174952135941163,9.432931919513273,2021
22,Massachusetts,15412,206,10120,76,900,200,3910,6937375.0,134009,311,15,9582,2322,29644,346,608,24521,55528,6819,2618,1695,72253,67351,153,41,582,4126,221674,31.95358474927476,19.316960665957946,2.2215895781905983,10.415034505126219,2021
23,Michigan,47520,675,27302,40,1091,715,17697,9785364.0,232118,1472,17,19990,2457,47250,1608,604,34204,94082,21283,4014,5137,161963,148483,870,42,922,11646,441601,45.12872489975846,23.72093669688731,4.856232226006105,16.55155597686504,2021
